Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
Afghanistan,2018,7200[4100–11000],7200.0,4100.0,11000.0,Eastern Mediterranean
Algeria,2018,16000[15000–17000],16000.0,15000.0,17000.0,Africa
Angola,2018,330000[290000–390000],330000.0,290000.0,390000.0,Africa
Argentina,2018,140000[130000–150000],140000.0,130000.0,150000.0,Americas
Armenia,2018,3500[3000–4400],3500.0,3000.0,4400.0,Europe
Australia,2018,28000[23000–31000],28000.0,23000.0,31000.0,Western Pacific
Bahamas,2018,6000[5300–6700],6000.0,5300.0,6700.0,Americas
Bangladesh,2018,14000[12000–16000],14000.0,12000.0,16000.0,South-East Asia
Barbados,2018,3000[2700–3400],3000.0,2700.0,3400.0,Americas
Belarus,2018,27000[22000–34000],27000.0,22000.0,34000.0,Europe
Belize,2018,4900[4400–5400],4900.0,4400.0,5400.0,Americas
Benin,2018,73000[48000–120000],73000.0,48000.0,120000.0,Africa
Bhutan,2018,1300[700–2700],1300.0,700.0,2700.0,South-East Asia
Bolivia (Plurinational State of),2018,22000[20000–24000],22000.0,20000.0,24000.0,Americas
Bosnia and Herzegovina,2018,500[500–500],500.0,500.0,500.0,Europe
Botswana,2018,370000[330000–400000],370000.0,330000.0,400000.0,Africa
Brazil,2018,900000[690000–1100000],900000.0,690000.0,1100000.0,Americas
Bulgaria,2018,3500[3000–4100],3500.0,3000.0,4100.0,Europe
Burkina Faso,2018,96000[78000–120000],96000.0,78000.0,120000.0,Africa
Burundi,2018,82000[71000–97000],82000.0,71000.0,97000.0,Africa
Cabo Verde,2018,2400[2100–2900],2400.0,2100.0,2900.0,Africa
Cambodia,2018,73000[64000–84000],73000.0,64000.0,84000.0,Western Pacific
Cameroon,2018,540000[470000–590000],540000.0,470000.0,590000.0,Africa
Central African Republic,2018,110000[90000–140000],110000.0,90000.0,140000.0,Africa
Chad,2018,120000[94000–150000],120000.0,94000.0,150000.0,Africa
Chile,2018,71000[63000–78000],71000.0,63000.0,78000.0,Americas
Colombia,2018,160000[130000–180000],160000.0,130000.0,180000.0,Americas
Comoros,2018,200[100–500],200.0,100.0,500.0,Africa
Congo,2018,89000[69000–120000],89000.0,69000.0,120000.0,Americas
Costa Rica,2018,15000[13000–17000],15000.0,13000.0,17000.0,Americas
Côte d'Ivoire,2018,460000[360000–580000],460000.0,360000.0,580000.0,Africa
Croatia,2018,1600[1400–1700],1600.0,1400.0,1700.0,Europe
Cuba,2018,31000[24000–37000],31000.0,24000.0,37000.0,Americas
Czechia,2018,4400[3700–5000],4400.0,3700.0,5000.0,Europe
Democratic Republic of the Congo,2018,450000[370000–530000],450000.0,370000.0,530000.0,Africa
Denmark,2018,6200[5600–7000],6200.0,5600.0,7000.0,Europe
Djibouti,2018,8800[7100–11000],8800.0,7100.0,11000.0,Eastern Mediterranean
Dominican Republic,2018,70000[54000–92000],70000.0,54000.0,92000.0,Americas
Ecuador,2018,44000[29000–71000],44000.0,29000.0,71000.0,Americas
Egypt,2018,22000[20000–24000],22000.0,20000.0,24000.0,Eastern Mediterranean
El Salvador,2018,25000[21000–30000],25000.0,21000.0,30000.0,Americas
Equatorial Guinea,2018,62000[50000–81000],62000.0,50000.0,81000.0,Africa
Eritrea,2018,18000[13000–24000],18000.0,13000.0,24000.0,Africa
Estonia,2018,7400[6600–8200],7400.0,6600.0,8200.0,Europe
Eswatini,2018,210000[190000–220000],210000.0,190000.0,220000.0,Africa
Ethiopia,2018,690000[530000–900000],690000.0,530000.0,900000.0,Africa
Finland,2018,4000[3100–4900],4000.0,3100.0,4900.0,Europe
France,2018,180000[150000–210000],180000.0,150000.0,210000.0,Europe
Gabon,2018,53000[43000–67000],53000.0,43000.0,67000.0,Africa
Gambia,2018,26000[21000–33000],26000.0,21000.0,33000.0,Africa
Georgia,2018,9400[8100–11000],9400.0,8100.0,11000.0,Europe
Germany,2018,87000[71000–100000],87000.0,71000.0,100000.0,Europe
Ghana,2018,330000[280000–390000],330000.0,280000.0,390000.0,Africa
Guatemala,2018,47000[43000–51000],47000.0,43000.0,51000.0,Americas
Guinea,2018,120000[100000–140000],120000.0,100000.0,140000.0,Africa
Guinea-Bissau,2018,44000[39000–49000],44000.0,39000.0,49000.0,Africa
Guyana,2018,8200[7200–9400],8200.0,7200.0,9400.0,Americas
Haiti,2018,160000[140000–180000],160000.0,140000.0,180000.0,Americas
Honduras,2018,23000[18000–28000],23000.0,18000.0,28000.0,Americas
Hungary,2018,3700[3200–4200],3700.0,3200.0,4200.0,Europe
Iceland,2018,500[500–500],500.0,500.0,500.0,Europe
Indonesia,2018,640000[550000–750000],640000.0,550000.0,750000.0,South-East Asia
Iran (Islamic Republic of),2018,61000[34000–120000],61000.0,34000.0,120000.0,Eastern Mediterranean
Ireland,2018,7200[6200–8000],7200.0,6200.0,8000.0,Europe
Israel,2018,9000[8000–10000],9000.0,8000.0,10000.0,Europe
Italy,2018,130000[110000–140000],130000.0,110000.0,140000.0,Europe
Jamaica,2018,40000[35000–46000],40000.0,35000.0,46000.0,Americas
Japan,2018,30000[25000–34000],30000.0,25000.0,34000.0,Western Pacific
Jordan,2018,500[500–500],500.0,500.0,500.0,Eastern Mediterranean
Kazakhstan,2018,26000[24000–27000],26000.0,24000.0,27000.0,Europe
Kenya,2018,1600000[1300000–1900000],1600000.0,1300000.0,1900000.0,Africa
Kuwait,2018,640[580–700],640.0,580.0,700.0,Eastern Mediterranean
Kyrgyzstan,2018,8500[6500–12000],8500.0,6500.0,12000.0,Europe
Lao People's Democratic Republic,2018,12000[11000–14000],12000.0,11000.0,14000.0,Western Pacific
Latvia,2018,5300[4800–5900],5300.0,4800.0,5900.0,Europe
Lebanon,2018,2500[2200–2800],2500.0,2200.0,2800.0,Eastern Mediterranean
Lesotho,2018,340000[320000–360000],340000.0,320000.0,360000.0,Africa
Liberia,2018,39000[36000–44000],39000.0,36000.0,44000.0,Africa
Libya,2018,9200[8300–10000],9200.0,8300.0,10000.0,Eastern Mediterranean
Luxembourg,2018,1200[1000–1300],1200.0,1000.0,1300.0,Europe
Madagascar,2018,39000[30000–55000],39000.0,30000.0,55000.0,Africa
Malawi,2018,1000000[940000–1100000],1000000.0,940000.0,1100000.0,Africa
Malaysia,2018,87000[77000–98000],87000.0,77000.0,98000.0,Western Pacific
Mali,2018,150000[120000–190000],150000.0,120000.0,190000.0,Africa
Mauritania,2018,5600[4500–7200],5600.0,4500.0,7200.0,Africa
Mauritius,2018,13000[10000–15000],13000.0,10000.0,15000.0,Africa
Mexico,2018,230000[200000–270000],230000.0,200000.0,270000.0,Americas
Mongolia,2018,600[530–670],600.0,530.0,670.0,Western Pacific
Montenegro,2018,500[500–500],500.0,500.0,500.0,Europe
Morocco,2018,21000[17000–28000],21000.0,17000.0,28000.0,Eastern Mediterranean
Mozambique,2018,2200000[1700000–2700000],2200000.0,1700000.0,2700000.0,Africa
Myanmar,2018,240000[210000–270000],240000.0,210000.0,270000.0,South-East Asia
Namibia,2018,200000[190000–220000],200000.0,190000.0,220000.0,Africa
Nepal,2018,30000[26000–34000],30000.0,26000.0,34000.0,South-East Asia
New Zealand,2018,3600[3100–4200],3600.0,3100.0,4200.0,Western Pacific
Nicaragua,2018,9400[7600–12000],9400.0,7600.0,12000.0,Americas
Niger,2018,36000[30000–43000],36000.0,30000.0,43000.0,Africa
